N (e-folds), phi (in Mpl), phi' (in Mpl), T (in Mpl)
104.214,0.911541,-0.895441,3.99512e-05
104.26,0.870005,-0.897521,3.90872e-05
104.307,0.827791,-0.898443,3.81925e-05
104.354,0.785565,-0.89796,3.72796e-05
104.396,0.748442,-0.896193,3.64613e-05
104.437,0.711012,-0.892948,3.56204e-05
104.479,0.673752,-0.888055,3.47665e-05
104.521,0.636733,-0.881323,3.39004e-05
104.563,0.600039,-0.872561,3.30231e-05
104.605,0.563756,-0.861581,3.21358e-05
104.642,0.531684,-0.849721,3.13337e-05
104.68,0.499973,-0.835774,3.05229e-05
104.717,0.469068,-0.819828,2.97142e-05
104.754,0.438966,-0.80183,2.89073e-05
104.791,0.409677,-0.78175,2.81024e-05
104.828,0.381219,-0.759581,2.72995e-05
104.865,0.353611,-0.735347,2.64989e-05
104.902,0.326874,-0.709096,2.57008e-05
104.939,0.301026,-0.680906,2.49052e-05
104.977,0.276078,-0.65088,2.4112e-05
105.015,0.252036,-0.619141,2.33207e-05
