724.1662463745661,2332621808880772.0
812.8439478730036,5159929608884870.0
907.1700255051121,1.2509529129224776e+16
1009.6068366067548,2.7874016202686108e+16
1121.7264261597861,6.6071825765876024e+16
1244.9066001562671,1.6837959551690416e+17
1380.5172782062912,3.83203987990576e+17
1529.995054256328,9.065403043576575e+17
1694.884054030392,2.1939596185814356e+18
1876.8655354465736,4.986314352248792e+18
2149.1376366384297,1.2128138872551692e+19
2299.641441500506,2.8862175097240257e+19
2544.6909785114094,6.948468169868069e+19
2815.370339890507,1.5793129038816372e+20
3114.389328244333,3.885722887484118e+20
3444.7342316617837,9.202722431899339e+20
3809.7062328399215,2.256455247744833e+21
4212.943997881822,5.475959440359122e+21
4658.471162909712,1.3659236090474911e+22
5150.73241454554,3.141925320045071e+22
5694.632118054141,7.410820275068607e+22
6405.88398302614,1.9275177236518985e+23
6959.60363397695,4.2615611347225315e+23
7693.276652249657,1.0762209225900798e+24
8503.923886861494,2.6187120116045673e+24
9532.016662597627,6.761732407202603e+24
10389.289579604296,1.5241610683199512e+25
