899.7723851805239 1.7880256555472388e16
1030.9942221209553 4.43694225899025e16
1152.3847668474286 1.0320992297195843e17
1280.6050997850066 2.3727824212761046e17
1419.0880639815653 5.4340263799184e17
1569.9080414337616 1.2431780224917064e18
1734.8216821294318 2.84489376848016e18
1915.54040520676 6.516594406759623e18
2113.836452943586 1.4947973537520953e19
2331.598593702586 3.4333100256200507e19
2570.8663534919415 7.897135824622572e19
2833.8601485294125 1.819865469042444e20
3123.006683923895 4.199307055864603e20
3440.9641180057724 9.706293934686133e20
3790.6487173509336 2.24753843459036e21
4175.263184439343 5.210904756863961e21
4598.325408902274 1.2095025391148686e22
5063.702587775654 2.7452540620819724e22
5575.645720571922 6.379809117937897e22
6138.8301968114965 1.4807804677627953e23
6758.395764506318 3.3904746501486284e23
7439.996057651392 7.76206298685456e23
8189.850242277794 1.8847696136746392e24
9014.796907083699 4.4260143760551736e24
9922.3594351292 1.014958008801869e25
