777.1908275138833 3.8427356096280175e15
864.6237879873648 8.731391328067761e15
958.6997406852198 1.9745274904359956e16
1060.9911504182217 4.460699526682234e16
1172.7488217274142 1.0082976440516376e17
1295.1594404484138 2.2823690967592096e17
1429.4372763336062 5.176980387296509e17
1576.8696257526535 1.1759848966170194e18
1738.842211497159 2.677674748617898e18
1916.8598765770648 6.110678703847381e18
2112.5688626217075 1.397375495833979e19
2327.7693028914014 3.2023523719524856e19
2564.4366941706962 7.3504906035210764e19
2824.738035677241 1.6912638484670094e20
3111.0557197384787 3.89828563360442e20
3426.007695906558 8.997381104560454e20
3772.4704767911194 2.081657536408585e21
4153.608961531207 4.818935952937406e21
4572.901741855027 1.1182062139477458e22
5034.175639892933 2.59766021932838e22
5541.638810292901 5.885286491556556e22
6099.920517666808 1.3505500591950259e23
6714.112010123479 3.234085946174566e23
7389.813402784135 7.26144134827367e23
8133.185423082123 1.6842216375555622e24
8951.003867575102 3.8448261056362907e24
9850.724639068192 8.875926655415554e24
